freq[Hz]:,iron_t0.2,iron_t2,aluminum_t0.2,aluminum_t2,copper_t0.2,copper_t2,ag_t0.2,ag_t2,graphite_t0.2,graphite_t2
1000000,8.385189535,83.85189535,20.53943576,205.3943576,26.51629754,265.1629754,27.17111954,271.7111954,7.719192652,77.19192652
1020000,8.468626312,84.68626312,20.74381329,207.4381329,26.7801478,267.801478,27.4414856,274.414856,7.796002431,77.96002431
1050000,8.592262433,85.92262433,21.0466587,210.466587,27.17111954,271.7111954,27.84211242,278.4211242,7.909818706,79.09818706
1070000,8.673707499,86.73707499,21.24615755,212.4615755,27.42867146,274.2867146,28.1060246,281.060246,7.984794967,79.84794967
1100000,8.794460978,87.94460978,21.54194196,215.4194196,27.81052748,278.1052748,28.49731059,284.9731059,8.095957554,80.95957554
1120000,8.874050482,88.74050482,21.73689563,217.3689563,28.06221159,280.6221159,28.75521006,287.5521006,8.169225632,81.69225632
1150000,8.992113993,89.92113993,22.02609099,220.2609099,28.4355612,284.355612,29.13777956,291.3777956,8.277911903,82.77911903
1170000,9.069969247,90.69969247,22.21679664,222.1679664,28.68176113,286.8176113,29.39005942,293.9005942,8.349583474,83.49583474
1200000,9.185514914,91.85514914,22.49982456,224.9982456,29.04714861,290.4714861,29.76447017,297.6447017,8.455951883,84.55951883
1230000,9.299625065,92.99625065,22.77933621,227.7933621,29.40799659,294.0799659,30.13422932,301.3422932,8.560998791,85.60998791
1260000,9.412351909,94.12351909,23.05545946,230.5545946,29.76447017,297.6447017,30.49950604,304.9950604,8.664772262,86.64772262
1290000,9.523744566,95.23744566,23.32831463,233.2831463,30.11672468,301.1672468,30.86045951,308.6045951,8.767317515,87.67317515
1320000,9.633849317,96.33849317,23.59801509,235.9801509,30.46490648,304.6490648,31.21723968,312.1723968,8.868677154,88.68677154
1350000,9.742709827,97.42709827,23.86466779,238.6466779,30.80915364,308.0915364,31.56998804,315.6998804,8.968891376,89.68891376
1380000,9.850367347,98.50367347,24.12837378,241.2837378,31.14959661,311.4959661,31.91883828,319.1883828,9.067998157,90.67998157
1410000,9.9568609,99.568609,24.38922865,243.8922865,31.48635879,314.8635879,32.26391683,322.6391683,9.166033419,91.66033419
1450000,10.09710528,100.9710528,24.73275583,247.3275583,31.92985047,319.2985047,32.71836058,327.1836058,9.295138839,92.95138839
1480000,10.20102334,102.0102334,24.98730204,249.8730204,32.25846823,322.5846823,33.05509357,330.5509357,9.390803166,93.90803166
1510000,10.30389341,103.0389341,25.23928121,252.3928121,32.58377193,325.8377193,33.38843068,333.8843068,9.485502736,94.85502736
1550000,10.43947678,104.3947678,25.5713913,255.713913,33.01252421,330.1252421,33.82777103,338.2777103,9.61031735,96.1031735
1580000,10.54001981,105.4001981,25.81767041,258.1767041,33.33046918,333.3046918,34.15356767,341.5356767,9.702874709,97.02874709
1620000,10.67260389,106.7260389,26.14243375,261.4243375,33.74973685,337.4973685,34.58318918,345.8318918,9.824928245,98.24928245
1660000,10.80356098,108.0356098,26.46321181,264.6321181,34.16385954,341.6385954,35.00753867,350.0753867,9.945484022,99.45484022
1700000,10.93294956,109.3294956,26.7801478,267.801478,34.57302214,345.7302214,35.42680557,354.2680557,10.06459586,100.6459586
1740000,11.06082466,110.6082466,27.09337655,270.9337655,34.97739872,349.7739872,35.84116826,358.4116826,10.18231443,101.8231443
1780000,11.18723819,111.8723819,27.40302519,274.0302519,35.3771534,353.771534,36.25079492,362.5079492,10.29868752,102.9868752
1820000,11.31223914,113.1223914,27.70921375,277.0921375,35.77244113,357.7244113,36.6558443,366.558443,10.41376023,104.1376023
1860000,11.43587384,114.3587384,28.01205568,280.1205568,36.16340838,361.6340838,37.05646652,370.5646652,10.52757519,105.2757519
1910000,11.5885625,115.885625,28.38606497,283.8606497,36.6462523,366.462523,37.55123431,375.5123431,10.66813649,106.6813649
1950000,11.70927995,117.0927995,28.68176113,286.8176113,37.0279944,370.279944,37.94240355,379.4240355,10.77926591,107.7926591
2000000,11.85844876,118.5844876,29.04714861,290.4714861,37.49970761,374.9970761,38.42576576,384.2576576,10.91658694,109.1658694
2040000,11.97644618,119.7644618,29.33618208,293.3618208,37.87284822,378.7284822,38.80812111,388.0812111,11.02521237,110.2521237
2090000,12.12232789,121.2232789,29.69351782,296.9351782,38.33416666,383.3416666,39.28083185,392.8083185,11.15950736,111.5950736
2140000,12.26647478,122.6647478,30.04660416,300.4660416,38.78999917,387.8999917,39.74792117,397.4792117,11.29220533,112.9220533
2190000,12.40894733,124.0894733,30.39558919,303.9558919,39.24053692,392.4053692,40.20958498,402.0958498,11.42336194,114.2336194
2240000,12.54980255,125.4980255,30.74061261,307.4061261,39.68596023,396.8596023,40.66600806,406.6600806,11.55302968,115.5302968
2290000,12.6890943,126.890943,31.08180633,310.8180633,40.12643943,401.2643943,41.11736492,411.1736492,11.68125813,116.8125813
2340000,12.82687352,128.2687352,31.41929512,314.1929512,40.56213558,405.6213558,41.56382062,415.6382062,11.80809419,118.0809419
2400000,12.99027977,129.9027977,31.81955705,318.1955705,41.07887151,410.7887151,42.09331739,420.9331739,11.95852184,119.5852184
2450000,13.12489766,131.2489766,32.1493022,321.493022,41.50457067,415.0457067,42.52952922,425.2952922,12.08244765,120.8244765
2510000,13.28463861,132.8463861,32.540586,325.40586,42.00971588,420.0971588,43.04714904,430.4714904,12.22950111,122.2950111
2570000,13.44248143,134.4248143,32.92722039,329.2722039,42.50885873,425.0885873,43.55861826,435.5861826,12.37480721,123.7480721
2630000,13.59849224,135.9849224,33.30936727,333.0936727,43.00220823,430.0220823,44.06415106,440.6415106,12.5184268,125.184268
2690000,13.75273338,137.5273338,33.68717936,336.8717936,43.48996154,434.8996154,44.56394948,445.6394948,12.66041728,126.6041728
2750000,13.90526374,139.0526374,34.06080091,340.6080091,43.97230489,439.7230489,45.05820433,450.5820433,12.80083286,128.0083286
2820000,14.08112772,140.8112772,34.49157793,344.9157793,44.52843563,445.2843563,45.62806876,456.2806876,12.96272877,129.6272877
2880000,14.23013852,142.3013852,34.85657833,348.5657833,44.99964913,449.9964913,46.11091891,461.1091891,13.09990433,130.9990433
2950000,14.40203598,144.0203598,35.27763941,352.7763941,45.54323665,455.4323665,46.66793036,466.6793036,13.25814877,132.5814877
3020000,14.5719058,145.719058,35.69373379,356.9373379,46.08041218,460.8041218,47.21837149,472.1837149,13.41452661,134.1452661
3090000,14.73981808,147.3981808,36.10503319,361.0503319,46.61139742,466.1139742,47.76246945,477.6246945,13.56910239,135.6910239
3160000,14.90583896,149.0583896,36.51169965,365.1169965,47.13640156,471.3640156,48.3004386,483.004386,13.72193701,137.2193701
3240000,15.09334116,150.9334116,36.97098436,369.7098436,47.72933558,477.2933558,48.90801517,489.0801517,13.89454677,138.9454677
3310000,15.25551526,152.5551526,37.36822814,373.6822814,48.24217509,482.4217509,49.43351929,494.3351929,14.04384013,140.4384013
3390000,15.43877126,154.3877126,37.81711184,378.1711184,48.82168145,488.2168145,50.02733662,500.2733662,14.21254095,142.1254095
