freq[Hz]:,iron,aluminum,copper,silver,graphite
1000000,2.07E-04,8.46E-05,6.55E-05,6.39E-05,0.000225047
1020000,2.05E-04,8.37E-05,6.49E-05,6.33E-05,0.000222829
1050000,2.02E-04,8.25E-05,6.39E-05,6.24E-05,0.000219623
1070000,2.00E-04,8.18E-05,6.33E-05,6.18E-05,0.000217561
1100000,1.98E-04,8.06E-05,6.25E-05,6.10E-05,0.000214573
1120000,1.96E-04,7.99E-05,6.19E-05,6.04E-05,0.000212649
1150000,1.93E-04,7.89E-05,6.11E-05,5.96E-05,0.000209857
1170000,1.92E-04,7.82E-05,6.06E-05,5.91E-05,0.000208056
1200000,1.89E-04,7.72E-05,5.98E-05,5.84E-05,0.000205438
1230000,1.87E-04,7.63E-05,5.91E-05,5.76E-05,0.000202918
1260000,1.85E-04,7.53E-05,5.84E-05,5.70E-05,0.000200487
1290000,1.82E-04,7.45E-05,5.77E-05,5.63E-05,0.000198142
1320000,1.80E-04,7.36E-05,5.70E-05,5.56E-05,0.000195878
1350000,1.78E-04,7.28E-05,5.64E-05,5.50E-05,0.000193689
1380000,1.76E-04,7.20E-05,5.58E-05,5.44E-05,0.000191572
1410000,1.74E-04,7.12E-05,5.52E-05,5.38E-05,0.000189523
1450000,1.72E-04,7.02E-05,5.44E-05,5.31E-05,0.000186891
1480000,1.70E-04,6.95E-05,5.39E-05,5.26E-05,0.000184987
1510000,1.69E-04,6.88E-05,5.33E-05,5.20E-05,0.00018314
1550000,1.66E-04,6.79E-05,5.26E-05,5.14E-05,0.000180762
1580000,1.65E-04,6.73E-05,5.21E-05,5.09E-05,0.000179037
1620000,1.63E-04,6.65E-05,5.15E-05,5.02E-05,0.000176813
1660000,1.61E-04,6.56E-05,5.08E-05,4.96E-05,0.00017467
1700000,1.59E-04,6.49E-05,5.02E-05,4.90E-05,0.000172603
1740000,1.57E-04,6.41E-05,4.97E-05,4.85E-05,0.000170607
1780000,1.55E-04,6.34E-05,4.91E-05,4.79E-05,0.00016868
1820000,1.54E-04,6.27E-05,4.86E-05,4.74E-05,0.000166816
1860000,1.52E-04,6.20E-05,4.80E-05,4.69E-05,0.000165012
1910000,1.50E-04,6.12E-05,4.74E-05,4.63E-05,0.000162838
1950000,1.48E-04,6.06E-05,4.69E-05,4.58E-05,0.000161159
2000000,1.46E-04,5.98E-05,4.63E-05,4.52E-05,0.000159132
2040000,1.45E-04,5.92E-05,4.59E-05,4.48E-05,0.000157564
2090000,1.43E-04,5.85E-05,4.53E-05,4.42E-05,0.000155668
2140000,1.42E-04,5.78E-05,4.48E-05,4.37E-05,0.000153839
2190000,1.40E-04,5.72E-05,4.43E-05,4.32E-05,0.000152072
2240000,1.38E-04,5.65E-05,4.38E-05,4.27E-05,0.000150366
2290000,1.37E-04,5.59E-05,4.33E-05,4.22E-05,0.000148715
2340000,1.35E-04,5.53E-05,4.28E-05,4.18E-05,0.000147118
2400000,1.34E-04,5.46E-05,4.23E-05,4.13E-05,0.000145267
2450000,1.32E-04,5.40E-05,4.19E-05,4.08E-05,0.000143777
2510000,1.31E-04,5.34E-05,4.14E-05,4.04E-05,0.000142048
2570000,1.29E-04,5.28E-05,4.09E-05,3.99E-05,0.00014038
2630000,1.28E-04,5.22E-05,4.04E-05,3.94E-05,0.00013877
2690000,1.26E-04,5.16E-05,3.99E-05,3.90E-05,0.000137213
2750000,1.25E-04,5.10E-05,3.95E-05,3.86E-05,0.000135708
2820000,1.23E-04,5.04E-05,3.90E-05,3.81E-05,0.000134013
2880000,1.22E-04,4.98E-05,3.86E-05,3.77E-05,0.00013261
2950000,1.21E-04,4.92E-05,3.81E-05,3.72E-05,0.000131027
3020000,1.19E-04,4.87E-05,3.77E-05,3.68E-05,0.0001295
3090000,1.18E-04,4.81E-05,3.73E-05,3.64E-05,0.000128025
3160000,1.17E-04,4.76E-05,3.69E-05,3.60E-05,0.000126599
3240000,1.15E-04,4.70E-05,3.64E-05,3.55E-05,0.000125026
3310000,1.14E-04,4.65E-05,3.60E-05,3.51E-05,0.000123697
3390000,1.13E-04,4.59E-05,3.56E-05,3.47E-05,0.000122229
3470000,1.11E-04,4.54E-05,3.52E-05,3.43E-05,0.000120811
3550000,1.10E-04,4.49E-05,3.48E-05,3.39E-05,0.000119442
3630000,1.09E-04,4.44E-05,3.44E-05,3.36E-05,0.000118119
3720000,1.07E-04,4.39E-05,3.40E-05,3.31E-05,0.000116681
3800000,1.06E-04,4.34E-05,3.36E-05,3.28E-05,0.000115446
3890000,1.05E-04,4.29E-05,3.32E-05,3.24E-05,0.000114103
3980000,1.04E-04,4.24E-05,3.28E-05,3.20E-05,0.000112806
4070000,1.03E-04,4.19E-05,3.25E-05,3.17E-05,0.000111551
4170000,1.01E-04,4.14E-05,3.21E-05,3.13E-05,0.000110206
4270000,1.00E-04,4.09E-05,3.17E-05,3.09E-05,0.000108908
4370000,9.91E-05,4.05E-05,3.13E-05,3.06E-05,0.000107654
4470000,9.80E-05,4.00E-05,3.10E-05,3.02E-05,0.000106443
4570000,9.69E-05,3.96E-05,3.06E-05,2.99E-05,0.000105272
4680000,9.58E-05,3.91E-05,3.03E-05,2.96E-05,0.000104028
4790000,9.47E-05,3.86E-05,2.99E-05,2.92E-05,0.000102826
4900000,9.36E-05,3.82E-05,2.96E-05,2.89E-05,0.000101666
5010000,9.26E-05,3.78E-05,2.93E-05,2.86E-05,0.000100543
5130000,9.15E-05,3.73E-05,2.89E-05,2.82E-05,9.94E-05
5250000,9.04E-05,3.69E-05,2.86E-05,2.79E-05,9.82E-05
5370000,8.94E-05,3.65E-05,2.83E-05,2.76E-05,9.71E-05
5500000,8.83E-05,3.61E-05,2.79E-05,2.73E-05,9.60E-05
5620000,8.74E-05,3.57E-05,2.76E-05,2.70E-05,9.49E-05
5750000,8.64E-05,3.53E-05,2.73E-05,2.67E-05,9.39E-05
5890000,8.54E-05,3.48E-05,2.70E-05,2.63E-05,9.27E-05
6030000,8.44E-05,3.44E-05,2.67E-05,2.60E-05,9.16E-05
6170000,8.34E-05,3.40E-05,2.64E-05,2.57E-05,9.06E-05
6310000,8.25E-05,3.37E-05,2.61E-05,2.55E-05,8.96E-05
